kind,id,name_ru,lo,hi,loot_cap,cash_cap,quest_cap,quest_rate,deposit_bp,loan_bp,credit_limit
BAND,E0,старт и хаб,0,3,90,250,250,35,6,9,500
BAND,E1,ранний маршрут,4,10,450,2000,800,70,5,12,1600
BAND,E2,средний маршрут,11,22,4000,25000,8000,160,4,18,8000
BAND,E3,поздний маршрут,23,38,80000,250000,45000,420,2,30,22500
BAND,E4,богатство эндгейма,39,127,250000,5000000,250000,1200,1,45,50000
WEALTH,poor,бедняк,0,100,,,,,,,
WEALTH,stable,устойчивый,100,2000,,,,,,,
WEALTH,official,служебный,2000,50000,,,,,,,
WEALTH,rich,богатый,50000,1000000,,,,,,,
WEALTH,millionaire,миллионер,1000000,5000000,,,,,,,
