idx,id,name_ru,hp,dmg,speed_cps,attack_cd_s,melee_reach_cells,is_ranged,proj_speed_cps,proj_type,is_boss,tier_derived,behaviour,shared_flags,spawn_weight,min_samosbor,rare,pack_mode,pack_min,pack_max,pack_spread,floors_z,shot_range_cells,min_range_cells,windup_s,ai_flags,n_ai_flags,n_rare_drops,has_loot_table,role,def_src,eco_src,mass_g
0,SBORKA,Сборка,8,3,3.15,0.65,1.2,0,0,,0,TRASH,Plain,foodBait,8.5,1,0,crowd,8,16,5,30|14|0|-26|-36,0,0,0,foodBait,1,1,0,Быстрый слабый расход патронов и проверка широкого прохода.,src/entities/sborka.ts:8,src/data/monster_ecology.ts:218,12000
1,TVAR,Тварь,54,13,1.65,1.15,1.55,0,0,,0,MEDIUM,Plain,foodBait|wallBias,6.2,1,0,loner,1,1,0,14|0|-26|-36,0,0,0,foodBait|wallBias,2,1,0,"Средняя ближняя угроза, заставляющая держать дистанцию от бетонной кромки.",src/entities/tvar.ts:8,src/data/monster_ecology.ts:320,85000
2,POLZUN,Ползун,168,22,0.85,2.25,1.35,0,0,,0,ELITE,Plain,foodBait,4.3,1,0,loner,1,1,0,0|-26|-36,0,0,0,foodBait,1,2,0,"Медленный танк, который превращает двери, воду и сантехнику в ловушку.",src/entities/polzun.ts:7,src/data/monster_ecology.ts:388,400000
3,BETONNIK,Бетонник,1000,35,0.8,3,1.2,0,0,,0,BOSS,Plain,,0.65,4,1,loner,1,1,0,30|0|-26|-36|-50,0,0,0,,0,2,0,"Редкая тяжелая бетонная угроза, которая закрывает прямой коридор.",src/entities/betonnik.ts:7,src/data/monster_ecology.ts:405,900000
4,ZOMBIE,Мертвяк,35,8,1.4,1.5,1.2,0,0,,0,MEDIUM,Plain,,3.4,2,0,crowd,5,10,6,30|14|0|-26|-36,0,0,0,,0,2,1,"Бывший жилец, опасный в толпе, кухне и дверном заторе.",src/entities/zombie.ts:8,src/data/monster_ecology.ts:464,85000
5,EYE,Глаз,20,14,2.2,2.5,1.2,1,8,,0,LIGHT,Plain,flying,3.1,3,0,loner,1,1,0,30|0|-26|-36|-50,15,1.5,0.85,flying,1,2,0,"Дальний враг линии обзора, который ломает открытую коридорную стрельбу.",src/entities/eye.ts:9,src/data/monster_ecology.ts:502,40000
6,NIGHTMARE,Кошмарище,260,32,1.35,1.15,1.2,0,0,,0,ELITE,Plain,,1.4,3,1,loner,1,1,0,30|0|-26|-36|-50,0,0,0,,0,2,0,"Редкое давление, где правильный выбор - короткий burst или немедленный уход.",src/entities/nightmare.ts:11,src/data/monster_ecology.ts:553,400000
7,SHADOW,Теневик,50,12,2.4,1,1.2,0,0,,0,MEDIUM,Plain,,3.6,2,0,loner,1,1,0,30|14|0|-36|-50,0,0,0,,0,1,0,"Темный ambush-монстр, который проверяет свет, движение и широкий отход.",src/entities/shadow.ts:9,src/data/monster_ecology.ts:604,85000
8,REBAR,Арматура,210,24,0.82,2.4,1.2,0,0,,0,ELITE,DebrisLurker,wallBias,1.1,5,1,loner,1,1,0,0|-26|-36|-50,0,0,0,debrisLurker|wallBias,2,2,0,"Складской debris-lurker, который притворяется ровным железом у стен.",src/entities/rebar.ts:9,src/data/monster_ecology.ts:672,400000
9,MATKA,Матка,350,12,0.4,3.5,1.2,0,0,,0,BOSS,Plain,,0.45,4,1,loner,1,1,0,-26|-36|-50,0,0,0,,0,2,0,"Spawner-boss, где игрок выбирает: убить источник, чистить приплод или уйти.",src/entities/matka.ts:7,src/data/monster_ecology.ts:723,900000
10,IDOL,Идол,100,30,0,2,1.2,1,12,,0,HEAVY,Plain,,0.9,3,1,loner,1,1,0,30|0|-36|-50,15,1.25,1.05,,0,2,0,"Неподвижная ПСИ-турель, которая наказывает среднюю дистанцию.",src/entities/idol.ts:10,src/data/monster_ecology.ts:757,220000
11,MANCOBUS,Манкобус,400,40,0.7,3,1.2,1,6,,1,BOSS,Plain,,0.32,6,1,loner,1,1,0,-26|-36,14,2.2,1.05,,0,2,0,Командирская тяжелая угроза: охрана плюс секторный дальний бой.,src/entities/mancobus.ts:9,src/data/monster_ecology.ts:791,900000
12,HERALD,Вестник,250,30,1.4,2,1.2,1,7,,1,BOSS,Plain,,0.28,5,1,loner,1,1,0,-36,16,1.8,0.9,,0,2,0,"Hell watcher: открытая линия, потолочный голос и наказание за задержку.",src/entities/herald.ts:9,src/data/monster_ecology.ts:808,900000
13,CREATOR,Творец,520,44,1.05,2.35,1.2,1,7.5,,1,BOSS,Plain,,0,99,1,loner,1,1,0,-50,18,2.4,1.25,,0,1,0,"Финальный void-босс: ресурс, укрытие и зеленый контур как экзамен.",src/entities/creator.ts:8,src/data/monster_ecology.ts:825,900000
14,SPIRIT,Дух,40,15,2,1.5,1.2,0,0,,0,MEDIUM,Plain,flying,1.1,4,1,loner,1,1,0,30|-36|-50,0,0,0,flying,1,2,0,"Фазирующий преследователь, который отменяет привычную безопасность двери и стены.",src/entities/spirit.ts:9,src/data/monster_ecology.ts:859,85000
15,ROBOT,Робот,65,18,1.8,1.8,1.2,1,9,,0,HEAVY,Plain,,1.4,3,1,loner,1,1,0,30|-26,15,1.5,0.62,,0,2,0,"Индустриальный дальний автомат, который проверяет прямую линию и паузу после залпа.",src/entities/robot.ts:10,src/data/monster_ecology.ts:893,220000
16,SHOVNIK,Шовник,45,11,2.1,1.1,1.2,0,0,,0,MEDIUM,Plain,wallBias,3.2,2,0,loner,1,1,0,30|14|0,0,0,0,wallBias,1,2,0,"Охотник по швам, который делает стену плохим местом для рукопашной.",src/entities/shovnik.ts:7,src/data/monster_ecology.ts:927,85000
17,LAMPOVY,Ламповый,38,11,1.75,1,1.2,0,0,,0,MEDIUM,LampPowered,,2.8,2,0,loner,1,1,0,30|14|0|-26,0,0,0,lampPowered,1,2,0,"Световой паразит, который превращает лампу в опасную позицию.",src/entities/lampovy.ts:7,src/data/monster_ecology.ts:944,85000
18,PECHATEED,Печатеед,58,10,1.62,1.45,1.2,0,0,,0,MEDIUM,DocumentHunter,,2.6,2,0,loner,1,1,0,30|14|0,0,0,0,documentHunter,1,2,0,"Бумажный хищник, который делает документы боевым запахом.",src/entities/pechateed.ts:7,src/data/monster_ecology.ts:961,85000
19,PARAGRAPH,Параграф,46,15,1.05,2.35,1.2,1,6.5,,0,MEDIUM,RangedClause,,1.5,3,1,loner,1,1,0,30|-50,15,1.5,0.8,rangedClause,1,2,0,"Дальний бюрократический стрелок, где укрытие важнее спора с текстом.",src/entities/paragraph.ts:7,src/data/monster_ecology.ts:1080,85000
20,NELYUD,Нелюдь,80,18,1.8,1.4,1.2,0,0,,0,HEAVY,CloseReveal,,1.2,3,1,crowd,5,10,6,30|14|0,0,0,0,closeReveal,1,2,0,"Ложный человек, который проверяет подозрение, дистанцию, свидетеля и свет.",src/entities/nelyud.ts:7,src/data/monster_ecology.ts:1097,220000
21,KRYSNOZHKA,Крысоножка,14,3,2.45,0.65,1.2,0,0,,0,LIGHT,Plain,foodBait,3.2,1,0,crowd,8,16,5,14|0|-26,0,0,0,foodBait,1,2,0,"Пищевая мусорная стая, которая превращает запас еды в маршрутный риск.",src/entities/krysnozhka.ts:7,src/data/monster_ecology.ts:252,40000
22,KOSTOREZ,Косторез,150,17,1.55,2.8,1.2,0,0,,0,ELITE,Plain,,0.35,6,1,loner,1,1,0,-26|-36,0,0,0,,0,2,0,"Элитный windup-рукопашник, которого нужно читать до рывка.",src/entities/kostorez.ts:7,src/data/monster_ecology.ts:1216,400000
23,SAFEGUARD,Сейфгард,185,24,2.15,2.4,1.2,0,0,,0,ELITE,Plain,,0.18,7,1,loner,1,1,0,-26|-50,0,0,0,,0,2,0,Быстрый late-game охранитель НЕТ/БЛЕЙМ-ветки с коротким клинковым windup.,src/entities/safeguard.ts:7,src/data/monster_ecology.ts:842,400000
24,BLACK_LIQUIDATOR,Черный ликвидатор,92,15,1.22,1.8,1.35,0,0,,0,HEAVY,FalsePatrol,,0.14,3,1,roamer,2,3,8,30|14|0,0,0,0,falsePatrol,1,2,0,"Ложный постсамосборный обход, который сначала выглядит как поздняя зачистка.",src/entities/black_liquidator.ts:7,src/data/monster_ecology.ts:1267,220000
25,KHOROVAYA_MATKA,Хоровая Матка,420,10,0.28,3.8,1.2,0,0,,0,BOSS,Plain,,0.34,5,1,crowd,8,16,5,-36,0,0,0,,0,3,0,Адский источник приплода: объявляет ограниченные волны мокрым хором.,src/entities/khorovaya_matka.ts:7,src/data/monster_ecology.ts:740,900000
26,SLIMEVIK,Слизневик,18,2,1.05,1.8,1.2,0,0,,0,LIGHT,SlimeScavenger,,1.15,1,0,loner,1,1,0,0|-26,0,0,0,slimeScavenger,1,2,0,"Нейтральный слизевой падальщик: бартер за зачистку, пробу или безопасный обход.",src/entities/slimevik.ts:7,src/data/monster_ecology.ts:1131,40000
27,SOBRANNYY,Собранный человек,260,24,1.18,3.1,1.2,0,0,,0,ELITE,MeatGrowth,,0.28,5,1,crowd,5,10,6,0|-26|-36,0,0,0,meatGrowth,1,2,0,"Редкий постсамосборный композит из убежища, где бой, изоляция и доклад равны по смыслу.",src/entities/sobrannyy.ts:7,src/data/monster_ecology.ts:570,400000
28,ZHORNAYA_TVAR,Жорная Тварь,62,19,1.72,2.65,1.2,0,0,,0,HEAVY,ScentOvercommit,foodBait,2.2,2,0,territorial,2,4,4,14|0|-36,0,0,0,foodBait|scentOvercommit,2,1,0,"Пищевой scent-lunge хищник, который превращает еду, мясо и приманку в маршрутное решение.",src/entities/zhornaya_tvar.ts:7,src/data/monster_ecology.ts:371,220000
29,BEZEKHIY,Безэхий,58,9,1.28,1.45,1.2,0,0,,0,MEDIUM,DeadEcho,,1.55,2,0,loner,1,1,0,0|14|30,0,0,0,deadEcho,1,2,0,"Дверной засадник, который убирает привычное эхо и наказывает спину к открытому порогу.",src/entities/bezekhiy.ts:7,src/data/monster_ecology.ts:1233,85000
30,PSEUDOLIFT,Псевдолифт,125,24,0.55,0.78,1.2,0,0,,0,ELITE,Plain,,0,1,1,loner,1,1,0,0|-26|-36,0,0,0,,0,2,0,Редкая маршрутная ловушка: ложная кабина вместо обычного перехода.,src/entities/pseudolift.ts:7,src/data/monster_ecology.ts:1250,400000
31,SLEPOGLAZ,Слепоглаз,52,24,0.62,3.4,1.2,0,0,,0,MEDIUM,LastSoundBeam,,1.05,3,0,loner,1,1,0,-26|-36,0,0,0,lastSoundBeam,1,2,0,"Слепая дальняя турель, которая стреляет по последнему шуму или старой позиции игрока.",src/entities/slepoglaz.ts:7,src/data/monster_ecology.ts:1199,85000
32,OLGOY,Олгой-Хорхой,118,22,0.95,2.25,1.48,0,0,,0,HEAVY,MeatWorm,foodBait,0.82,2,1,loner,1,1,0,-26|-36,0,0,0,foodBait|meatWorm,2,3,0,"Тяжелый collector worm: мясо отвлекает, труба делает укус решающим.",src/entities/olgoy.ts:7,src/data/monster_ecology.ts:1063,220000
33,VODYANOY_KOSHMAR,Водяной кошмар,86,10,1.34,1.2,1.2,0,0,,0,HEAVY,WaterPressureLine,,1.15,2,0,loner,1,1,0,-26,0,0,0,waterPressureLine,1,2,0,"ПСИ-хищник водной линии, который наказывает длинный отход по одному мокрому маршруту.",src/entities/vodyanoy_koshmar.ts:7,src/data/monster_ecology.ts:1046,220000
34,LAMPOGLAZ,Лампоглаз,44,10,0.28,1.9,1.2,1,13,,0,MEDIUM,LightLock,,2.2,2,0,loner,1,1,0,0|30,17,0.9,0.95,lightLock,1,2,0,"Стационарный стрелок световой линии, который делает лампу безопасностью и риском одновременно.",src/entities/lampoglaz.ts:7,src/data/monster_ecology.ts:519,85000
35,TUMANNIK,Туманник,64,9,1.9,0.72,1.2,0,0,,0,HEAVY,FogOffset,,1.35,2,0,loner,1,1,0,0|-36,0,0,0,fogOffset,1,2,0,Туманный карман с ложным силуэтом и боковым ударом по последнему шумному шагу.,src/entities/tumannik.ts:7,src/data/monster_ecology.ts:235,220000
36,CHERNOSLIZ,Чернослиз,18,18,0.5,3.1,1.2,1,9,,0,LIGHT,BlackWaterWake,,1.4,2,0,loner,1,1,0,-26,15,0.75,0.55,blackWaterWake,1,2,0,"Темноводная турель-засада, которая наказывает вход в черный лоток без проверки.",src/entities/chernosliz.ts:7,src/data/monster_ecology.ts:536,40000
37,RZHAVNIK,Ржавник,72,13,1.35,1.55,1.2,0,0,,0,HEAVY,ScrapWake,,0.85,2,0,loner,1,1,0,0|-26,0,0,0,scrapWake,1,2,0,"Складской scrap-ambusher: полезный металл, который наказывает быстрый сбор хабара.",src/entities/rzhavnik.ts:7,src/data/monster_ecology.ts:689,220000
38,BETONOED,Бетоноед,360,28,0.98,2.35,1.2,0,0,,0,BOSS,WeakWallBreach,wallBias,0.12,0,1,loner,1,1,0,-26,0,0,0,wallBias|weakWallBreach,2,2,1,"Авторская слабостенная угроза, превращающая короткий путь в решение про шум, печать и огонь.",src/entities/betonoed.ts:7,src/data/monster_ecology.ts:422,900000
39,PANELNIK,Панельник,96,16,1.08,1.45,1.16,0,0,,0,HEAVY,WallBrace,,1.7,2,0,loner,1,1,0,14|0|-26,0,0,0,wallBrace,1,2,0,"Панельный wall-anchor bruiser, который делает кромку стены плохим местом для размена.",src/entities/panelnik.ts:7,src/data/monster_ecology.ts:337,220000
40,PAUPSINA,Паупсина,32,0,2.25,2.65,1.2,1,9.5,WEB,0,MEDIUM,WebSpitter,,1.15,2,0,loner,1,1,0,14|0|-26,11.5,3.4,0.48,webSpitter,1,2,0,"Быстрый web-spitter контроля, который не грызет здоровье, а делает плохой коридор липкой ловушкой.",src/entities/paupsina.ts:9,src/data/monster_ecology.ts:354,85000
41,BORSHCHEVIK,Борщевик,62,12,0,1.45,1.2,0,0,,0,HEAVY,RootedPlant,,1.15,2,0,loner,1,1,0,0|-26,0,0,0,rootedPlant,1,2,0,"Коридорная растительная блокада: жжет кожу, путает карту семенами и давит слабые швы корнями.",src/entities/borshchevik.ts:7,src/data/monster_ecology.ts:587,220000
42,OBZHIVALSHCHIK,Комнатный обживальщик,92,16,1.05,1.55,1.2,0,0,,0,HEAVY,RoomBoundAberration,,0.72,1,0,loner,1,1,0,14|0,0,0,0,roomBoundAberration,1,2,0,"Квартирная аберрация, которая держится своей комнаты и превращает шум соседей в нарастающую стенную органику.",src/entities/obzhivalshchik.ts:7,src/data/monster_ecology.ts:1114,220000
43,HEAD_SLUG,Головной слизень,58,6,1.48,1.15,1.2,0,0,,0,MEDIUM,HostParasite,,0.36,2,1,loner,1,1,0,0|14|30|-26,0,0,0,hostParasite,1,2,0,"Редкий паразит носителя: ломает привычную проверку тела, карантина и добивания.",src/entities/head_slug.ts:10,src/data/monster_ecology.ts:1148,85000
44,PROTOKOLNIK,Протокольник,112,6,1.08,2.4,1.2,0,0,,0,HEAVY,ProtocolPressure,,0.72,3,1,loner,1,1,0,30,0,0,0,protocolPressure,1,2,0,"Министерский ПСИ-хищник, который превращает пачку официальных бумаг в боевое давление.",src/entities/protokolnik.ts:7,src/data/monster_ecology.ts:995,220000
45,DIKIY_MERTVYAK,Дикий Мертвяк,22,7,2.55,1.05,1.2,0,0,,0,LIGHT,CrowdShove,,2.15,1,0,crowd,5,10,6,14|0,0,0,0,crowdShove,1,2,0,"Хрупкий бегун, который превращает очередь, рынок или дверной затор в короткую панику.",src/entities/dikiy_mertvyak.ts:7,src/data/monster_ecology.ts:485,40000
46,KONTORSHCHIK,Конторщик,72,12,0.95,1.65,1.2,0,0,,0,HEAVY,DocumentScent,,0.95,2,1,loner,1,1,0,30|0,0,0,0,documentScent,1,2,0,"Министерский мертвый клерк, который превращает жадность к бумагам в шум и хват.",src/entities/kontorshchik.ts:7,src/data/monster_ecology.ts:978,220000
47,TONKAYA_TEN,Тонкая Тень,28,5,2.95,1.45,1.2,0,0,,0,MEDIUM,BaitLine,,1.15,2,0,loner,1,1,0,30|0|-50,0,0,0,baitLine,1,1,0,"Трусливая приманка, которая отступает к темной линии и бьет только за погоню.",src/entities/tonkaya_ten.ts:7,src/data/monster_ecology.ts:655,85000
