item_id,dmg,range_cells,cooldown_s,durability,knockback,hit_radius
,3,0.5,0.34,0,0.06,0.5
axe,34,1.5,0.94,65,0.34,0
bayonet,13,1.8,0.29,65,0.12,0
brass_knuckles,14,0.6,0.25,80,0.15,0
chain,14,2.05,0.48,75,0.24,0
chainsaw,42,1.35,0.21,14,0.18,0
crowbar,24,1.75,0.72,120,0.40,0
entrenching_spade,16,1.45,0.43,100,0.20,0
fire_hook,18,2.35,0.86,80,0.36,0
hammer,13,1.35,0.33,65,0.22,0
knife,7,0.5,0.20,32,0.10,0.5
liquidator_axe,38,1.5,1.08,110,0.42,0
liquidator_rake,11,2.2,0.68,70,0.26,0.9
metal_chair,18,1.65,0.90,22,0.58,0
pipe,19,1.85,0.64,60,0.36,0.7
rake_bayonet,14,2.0,0.38,55,0.12,0.9
rebar,24,2.1,0.82,95,0.42,0
rubber_club,8,1.5,0.42,90,0.55,0
rusty_rake,10,2.15,0.92,28,0.22,0.9
shock_baton,9,1.4,0.30,80,0.48,0
sledgehammer,52,1.7,1.35,85,0.65,0
tracked_zhernov,96,1.25,2.4,16,0.82,0
wrench,12,1.45,0.43,115,0.20,0
