item_id,dmg,cooldown_s,proj_speed_cells,pellets,spread_rad,magazine,ammo_item,reload_s,proj_type,fuse_s
makarov,22,0.52,22,1,0.012,8,ammo_9mm,1.0,normal,
tt_pistol,34,0.55,23,1,0.050,8,ammo_762tt,1.0,normal,
nagant,48,1.25,23,1,0.006,7,ammo_nagant,1.0,normal,
homemade_pistol,27,0.92,15,1,0.200,1,ammo_9mm,1.0,normal,
karkarov_pistol,18,0.48,21,1,0.035,8,ammo_9mm,1.0,normal,
zatychkin_pistol,17,0.18,20,1,0.080,8,ammo_9mm,1.0,normal,
ppsh,8,0.07,18,1,0.150,1,ammo_9mm,1.0,normal,
slyoznev_pps41,7,0.055,18,1,0.190,71,ammo_9mm,1.0,normal,
ak47,26,0.14,25,1,0.090,30,ammo_762,1.0,normal,
eralashnikov_auto,23,0.12,24,1,0.110,30,ammo_762,1.0,normal,
machinegun,13,0.05,21,1,0.200,1,ammo_belt,1.0,normal,
rpl23_lmg,14,0.06,22,1,0.170,100,ammo_belt,1.0,normal,
p41_heavy_mg,18,0.045,21,1,0.240,100,ammo_belt,1.0,normal,
nosin_rifle,55,1.45,26,1,0.018,5,ammo_762,1.0,normal,
moskvin_rifle,76,1.90,29,1,0.006,5,ammo_762,1.0,normal,
tanev_svt40,105,2.55,33,1,0.002,10,ammo_762,1.0,normal,
losyash_rifle,140,2.85,32,1,0.002,1,rifle_bolt_pack,1.0,normal,
ptrs_liquidator,170,4.25,34,1,0.0015,5,ammo_harpoon,1.0,normal,
shotgun,12,1.20,15,7,0.340,1,ammo_shells,1.0,normal,
toz_shotgun,11,1.60,20,8,0.130,2,ammo_shells,1.0,normal,
chizh3_shotgun,13,1.00,17,8,0.240,2,ammo_shells,1.0,normal,
conscripts_doublebarrel,10,1.45,15,7,0.280,2,ammo_shells,1.0,normal,
rb91_auto_shotgun,11,0.65,16,9,0.300,10,ammo_shells,1.0,normal,
granit4u_belt_shotgun,8,2.35,14,12,0.460,20,ammo_shells,1.0,normal,
pushkin_shotgun,14,0.82,19,6,0.120,6,ammo_shells,1.0,normal,
nailgun,14,0.33,20,1,0.014,1,ammo_nails,1.0,normal,
harpoon_gun,88,2.35,18,1,0.003,1,ammo_harpoon,1.0,normal,
gauss,180,2.60,44,1,0.000,1,ammo_energy,1.0,normal,
plasma,26,0.16,14,1,0.180,1,ammo_energy,1.0,normal,
grenade,0,1.20,8,1,0.030,1,grenade,0.0,grenade,3.0
